Gene ID	Gene Name	7 day	8 day	9 day	10 day	11 day	12 day	13 day	14 day	15 day	16 day
AT3G54366	AT3G54366	38.0	28.0	46.0	30.0	66.0	44.0	33.0	34.0	37.0	46.0
AT3G54380	SAC3C	6.0	5.0	6.0	8.0	7.0	9.0	9.0	8.0	8.0	12.0
AT3G54390	AT3G54390	15.0	17.0	20.0	20.0	13.0	15.0	12.0	11.0	7.0	11.0
AT3G54400	AT3G54400	52.0	61.0	62.0	85.0	95.0	103.0	87.0	121.0	117.0	100.0
AT3G54410	AT3G54410	1.0	2.0	2.0	4.0	3.0	4.0	6.0	5.0	8.0	7.0
AT3G54420	EP3	2.0	6.0	9.0	2.0	1.0	0.9	0.5	0.3	0.3	0.2
AT3G54440	AT3G54440	17.0	23.0	23.0	24.0	17.0	24.0	26.0	28.0	29.0	29.0
AT3G54450	NPF5.4									0.1	
AT3G54460	AT3G54460	4.0	7.0	7.0	10.0	5.0	9.0	11.0	11.0	10.0	13.0
AT3G54470	PYRE-F	91.0	102.0	100.0	91.0	103.0	92.0	85.0	91.0	82.0	68.0
AT3G54480	SKIP5	9.0	14.0	14.0	20.0	17.0	17.0	20.0	17.0	20.0	27.0
AT3G54490	NRPE5C	0.2		0.2	1.0		0.1	0.4	0.4	0.3	0.4
AT3G54500	AT3G54500	3.0	2.0	2.0	4.0	2.0	4.0	6.0	4.0	6.0	11.0
AT3G54530	AT3G54530				0.1						
AT3G54540	ABCF4	44.0	38.0	35.0	42.0	32.0	36.0	42.0	44.0	37.0	34.0
AT3G54560	H2AV	211.0	211.0	235.0	224.0	395.0	269.0	248.0	228.0	275.0	233.0
AT3G54600	DJ1F	118.0	133.0	136.0	41.0	39.0	24.0	12.0	5.0	3.0	4.0
AT3G54610	HAG1	6.0	7.0	8.0	13.0	6.0	10.0	13.0	11.0	11.0	13.0
AT3G54620	BZIP25	19.0	17.0	19.0	22.0	15.0	23.0	27.0	26.0	25.0	31.0
AT3G54625	AT3G54625		0.1	0.2		0.2	0.3	0.1	0.2	0.2	0.3
